county,date,status,number
Baker,2018-07-28,APPROVED,3
Baker,2018-07-29,APPROVED,1
Baker,2018-07-30,APPROVED,6
Baker,2018-07-31,APPROVED,4
Baker,2018-08-01,APPROVED,3
Baker,2018-08-02,APPROVED,3
Baker,2018-08-02,CANCELED,1
Baker,2018-08-03,APPROVED,5
Baker,2018-08-04,APPROVED,16
Baker,2018-08-05,APPROVED,4
Baker,2018-08-06,APPROVED,2
Baker,2018-08-07,APPROVED,3
Baker,2018-08-08,APPROVED,4
Baker,2018-08-09,APPROVED,5
Baker,2018-08-10,APPROVED,2
Baker,2018-08-11,APPROVED,7
Baker,2018-08-12,APPROVED,2
Baker,2018-08-13,APPROVED,2
Baker,2018-08-14,APPROVED,6
Baker,2018-08-15,APPROVED,5
Baker,2018-08-15,DENIED,1
Baker,2018-08-16,APPROVED,5
Baker,2018-08-17,APPROVED,5
Baker,2018-08-18,APPROVED,3
Baker,2018-08-19,APPROVED,2
Baker,2018-08-20,APPROVED,3
Baker,2018-08-21,APPROVED,8
Baker,2018-08-21,DENIED,1
Baker,2018-08-22,APPROVED,3
Baker,2018-08-23,APPROVED,3
Baker,2018-08-24,APPROVED,7
Baker,2018-08-25,APPROVED,3
Baker,2018-08-26,APPROVED,2
Baker,2018-08-27,APPROVED,5
Baker,2018-08-28,APPROVED,4
Baker,2018-08-29,APPROVED,5
Baker,2018-08-30,APPROVED,7
Baker,2018-08-31,APPROVED,1
Baker,2018-08-31,CANCELED,1
Baker,2018-09-01,APPROVED,5
Baker,2018-09-02,APPROVED,1
Baker,2018-09-04,APPROVED,7
Baker,2018-09-05,APPROVED,5
Baker,2018-09-06,APPROVED,8
Baker,2018-09-07,APPROVED,9
Baker,2018-09-07,DENIED,1
Baker,2018-09-08,APPROVED,10
Baker,2018-09-09,APPROVED,6
Baker,2018-09-10,APPROVED,2
Baker,2018-09-11,APPROVED,3
Baker,2018-09-12,APPROVED,13
Baker,2018-09-13,APPROVED,6
Baker,2018-09-14,APPROVED,4
Baker,2018-09-15,APPROVED,5
Baker,2018-09-15,CANCELED,1
Baker,2018-09-16,APPROVED,3
Baker,2018-09-17,APPROVED,3
Baker,2018-09-18,APPROVED,6
Baker,2018-09-19,APPROVED,8
Baker,2018-09-20,APPROVED,6
Baker,2018-09-21,APPROVED,4
Baker,2018-09-22,APPROVED,12
Baker,2018-09-22,DENIED,1
Baker,2018-09-23,APPROVED,2
Baker,2018-09-24,APPROVED,3
Baker,2018-09-25,APPROVED,4
Baker,2018-09-26,APPROVED,2
Baker,2018-09-27,APPROVED,4
Baker,2018-09-28,APPROVED,6
Baker,2018-09-29,APPROVED,2
Baker,2018-09-30,APPROVED,1
Baker,2018-10-01,APPROVED,5
Baker,2018-10-02,APPROVED,5
Baker,2018-10-03,APPROVED,5
Baker,2018-10-04,APPROVED,13
Baker,2018-10-05,APPROVED,10
Baker,2018-10-05,CANCELED,1
Baker,2018-10-06,APPROVED,5
Baker,2018-10-07,APPROVED,3
Baker,2018-10-08,APPROVED,3
Baker,2018-10-09,APPROVED,3
Baker,2018-10-10,APPROVED,3
Baker,2018-10-11,APPROVED,5
Baker,2018-10-11,CANCELED,1
Baker,2018-10-12,APPROVED,9
Baker,2018-10-13,APPROVED,6
Baker,2018-10-14,APPROVED,2
Baker,2018-10-15,APPROVED,1
Baker,2018-10-15,CANCELED,1
Baker,2018-10-16,APPROVED,6
Baker,2018-10-17,APPROVED,5
Baker,2018-10-18,APPROVED,10
Baker,2018-10-19,APPROVED,12
Baker,2018-10-20,APPROVED,6
Baker,2018-10-20,CANCELED,1
Baker,2018-10-21,APPROVED,4
Baker,2018-10-22,APPROVED,5
Baker,2018-10-23,APPROVED,5
Baker,2018-10-24,APPROVED,4
Baker,2018-10-25,APPROVED,5
Baker,2018-10-26,APPROVED,4
Baker,2018-10-27,APPROVED,7
Baker,2018-10-28,APPROVED,3
Baker,2018-10-29,APPROVED,2
Baker,2018-10-30,APPROVED,12
Baker,2018-10-31,APPROVED,3
Baker,2018-10-31,DENIED,1
Baker,2018-11-01,APPROVED,4
Baker,2018-11-02,APPROVED,4
Baker,2018-11-03,APPROVED,8
Baker,2018-11-04,APPROVED,1
Baker,2018-11-05,APPROVED,1
Baker,2018-11-06,APPROVED,2
Baker,2018-11-07,APPROVED,6
Baker,2018-11-08,APPROVED,8
Baker,2018-11-09,APPROVED,6
Baker,2018-11-10,APPROVED,4
Baker,2018-11-11,APPROVED,1
Baker,2018-11-13,APPROVED,10
Baker,2018-11-14,APPROVED,9
Baker,2018-11-15,APPROVED,7
Baker,2018-11-16,APPROVED,9
Baker,2018-11-17,APPROVED,1
Baker,2018-11-18,APPROVED,7
Baker,2018-11-19,APPROVED,6
Baker,2018-11-20,APPROVED,1
Baker,2018-11-21,APPROVED,14
Baker,2018-11-23,APPROVED,29
Baker,2018-11-23,CANCELED,1
Baker,2018-11-24,APPROVED,26
Baker,2018-11-25,APPROVED,14
Baker,2018-11-26,APPROVED,9
Baker,2018-11-27,APPROVED,7
Baker,2018-11-28,APPROVED,7
Baker,2018-11-29,APPROVED,5
Baker,2018-11-30,APPROVED,7
Baker,2018-12-01,APPROVED,7
Baker,2018-12-02,APPROVED,4
Baker,2018-12-03,APPROVED,9
Baker,2018-12-04,APPROVED,11
Baker,2018-12-05,APPROVED,9
Baker,2018-12-06,APPROVED,8
Baker,2018-12-06,CANCELED,1
Baker,2018-12-07,APPROVED,6
Baker,2018-12-08,APPROVED,12
Baker,2018-12-09,APPROVED,6
Baker,2018-12-10,APPROVED,10
Baker,2018-12-11,APPROVED,14
Baker,2018-12-12,APPROVED,6
Baker,2018-12-13,APPROVED,7
Baker,2018-12-14,APPROVED,10
