Category: All categories

Day,Measure 114: (Portland OR),Oregon Ducks football: (Portland OR),Wordle: (Portland OR),Taylor Swift: (Portland OR),COVID: (Portland OR)
2023-01-31,0,3,44,4,25
2023-02-01,0,5,43,4,26
2023-02-02,0,3,47,5,22
2023-02-03,0,2,43,5,25
2023-02-04,0,3,44,5,22
2023-02-05,0,4,46,5,21
2023-02-06,0,3,43,14,23
2023-02-07,0,2,43,7,24
2023-02-08,0,2,45,7,23
2023-02-09,1,1,44,4,21
2023-02-10,2,2,46,3,22
2023-02-11,2,2,46,5,21
2023-02-12,1,2,46,5,20
2023-02-13,0,2,41,6,19
2023-02-14,0,2,42,4,21
2023-02-15,0,3,48,4,22
2023-02-16,0,2,44,3,23
2023-02-17,0,1,48,5,22
2023-02-18,0,3,50,3,21
2023-02-19,0,3,50,3,21
2023-02-20,0,1,46,4,21
2023-02-21,0,2,45,3,22
2023-02-22,0,0,43,3,19
2023-02-23,1,1,37,4,14
2023-02-24,0,2,44,3,19
2023-02-25,0,2,44,4,20
2023-02-26,0,1,43,4,19
2023-02-27,0,2,38,4,22
2023-02-28,0,2,41,3,20
