Category: All categories

Day,Measure 114: (Oregon),Oregon Ducks football: (Oregon),Wordle: (Oregon),Taylor Swift: (Oregon),COVID: (Oregon)
2023-01-31,0,3,38,2,21
2023-02-01,1,5,37,3,22
2023-02-02,0,3,36,4,19
2023-02-03,0,3,37,4,20
2023-02-04,0,3,37,4,20
2023-02-05,0,3,39,4,19
2023-02-06,0,3,38,12,22
2023-02-07,1,3,35,6,21
2023-02-08,0,2,39,7,18
2023-02-09,1,3,38,4,19
2023-02-10,2,2,39,3,19
2023-02-11,2,3,42,4,18
2023-02-12,1,2,39,5,16
2023-02-13,1,2,35,5,17
2023-02-14,0,2,35,4,19
2023-02-15,0,3,39,4,19
2023-02-16,0,2,40,3,21
2023-02-17,0,2,42,4,18
2023-02-18,2,2,42,3,18
2023-02-19,0,4,44,2,16
2023-02-20,0,2,39,3,20
2023-02-21,0,2,39,3,20
2023-02-22,0,2,38,2,18
2023-02-23,0,2,35,3,14
2023-02-24,0,2,41,3,16
2023-02-25,0,2,39,3,16
2023-02-26,0,1,38,3,18
2023-02-27,0,2,35,3,19
2023-02-28,0,1,36,3,17
