Category: All categories

Day,Measure 114: (Bend OR),Oregon Ducks football: (Bend OR),Wordle: (Bend OR),Taylor Swift: (Bend OR),COVID: (Bend OR)
2023-01-31,0,0,32,0,18
2023-02-01,0,0,42,0,21
2023-02-02,0,0,33,0,21
2023-02-03,0,0,38,0,0
2023-02-04,0,0,44,0,0
2023-02-05,16,0,58,0,0
2023-02-06,0,0,54,21,28
2023-02-07,0,0,30,0,18
2023-02-08,0,0,47,0,0
2023-02-09,0,0,58,0,15
2023-02-10,0,0,36,0,0
2023-02-11,0,0,46,0,0
2023-02-12,0,0,46,0,30
2023-02-13,0,0,40,0,0
2023-02-14,0,0,30,0,19
2023-02-15,0,0,35,0,0
2023-02-16,0,0,47,0,26
2023-02-17,0,0,28,0,17
2023-02-18,0,0,52,0,16
2023-02-19,0,0,55,0,0
2023-02-20,0,0,46,0,0
2023-02-21,0,0,51,0,19
2023-02-22,0,0,51,0,0
2023-02-23,0,0,39,0,0
2023-02-24,0,0,50,0,0
2023-02-25,0,0,39,0,0
2023-02-26,0,0,48,0,0
2023-02-27,0,0,35,0,17
2023-02-28,0,0,50,0,19
