Category: All categories

Day,Measure 114: (Eugene OR),Oregon Ducks football: (Eugene OR),Wordle: (Eugene OR),Taylor Swift: (Eugene OR),COVID: (Eugene OR)
2023-01-31,0,0,23,0,14
2023-02-01,0,4,18,0,12
2023-02-02,0,4,21,0,13
2023-02-03,0,3,21,0,9
2023-02-04,0,0,19,5,9
2023-02-05,0,0,24,0,14
2023-02-06,0,0,21,6,15
2023-02-07,0,0,23,0,14
2023-02-08,0,0,23,5,9
2023-02-09,0,0,23,0,13
2023-02-10,0,0,23,4,13
2023-02-11,0,4,32,0,8
2023-02-12,0,0,23,0,11
2023-02-13,0,0,18,0,9
2023-02-14,0,0,19,0,14
2023-02-15,0,3,25,0,13
2023-02-16,0,0,23,0,12
2023-02-17,0,0,25,0,10
2023-02-18,0,0,22,0,11
2023-02-19,0,0,29,0,8
2023-02-20,0,0,19,0,12
2023-02-21,0,0,19,0,10
2023-02-22,0,0,24,0,11
2023-02-23,0,0,23,0,9
2023-02-24,0,0,28,0,9
2023-02-25,0,0,25,0,10
2023-02-26,0,0,21,0,12
2023-02-27,0,0,25,0,9
2023-02-28,0,0,22,0,11
